country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,,2180,,,,,,2120,2050,2220,2050,2090,2340,2500,2660,2380,2560,2900,3010,3170,3170,3520,3960,4090,5910,6250,6080,6560,6060,6680,7250,8930,9270,10600,11400,11900,11600,11800,13800,14500,14600,15300,17900,18500,20900,16700,17400,19600,20100,21600,25400,29200,33100,34700,35300,34600,35000,38200,41300,43600,44200,46900,49300,53600,54300,55600,57000,50600,50300,61000,65900,62700,65300,65400,64000,65300,67600,76200,78000,82400,86400,83000,79800,79100,83400,86700,88900,97900,98100,98200,96400,102000,103000,106000,111000,115000,120000,129000,125000,118000,129000,126000,128000,137000,146000,147000,150000,151000,157000,159000,171000,118000,103000,110000,122000,109000,116000,152000,138000,163000,184000,207000,214000,214000,213000,212000,234000,238000,218000,192000,200000,202000,196000,198000,218000,202000,195000,138000,120000,123000,125000,80100,107000,165000,184000,197000,229000,202000,229000,227000,215000,227000,239000,269000,278000,266000,262000,271000,281000,299000,334000,345000,352000,347000,372000,385000,413000,439000,462000,481000,517000,499000,447000,506000,481000,506000,529000,505000,455000,437000,423000,405000,401000,386000,377000,372000,391000,376000,391000,366000,360000,338000,349000,375000,352000,377000,369000,362000,378000,375000,381000,384000,385000,376000,369000,366000,352000,353000,332000,333000,334000,303000
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,132,165,88,73.3,191,216,381,1010,1960,1430,2080,2850,2740,5310,5450,5370,5710,6310,7560,6750,6630,6570,6560,5520,6000,6320,4970,4020,4330,5770,4500,4540,4930,4990,4390,4620,4770,4800,4980,4810,4690,4800,4570,4640,4690,4890,4170,4120,4170,4250,4810,4970,5100,5280,5190
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,11,11,14.7,14.7,18.3,22,25.7,18.3,18.3,22,25.7,29.3,29.3,29.3,33,33,36.7,47.7,47.7,55,66,62.3,62.3,99,99,114,139,147,158,158,161,161,172,172,161,180,183,180,176,180,180,187,187,198,198,198,213,231,246,253,290,290,293,293,308,352,367,381,433,447,455,433,513
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0841,0.101,0.0673,0.0841,,,,,,,,,,,,,,,,,0.521,,,,,1.58,,,2.22,2.36,3.11,3.95,3.57,3.73,4.19,4,12.7,14.5,12.1,16.4,17.8,24,24.6,23.1,28.1,32.3,40.1,40.9,53.5,54.9,64.4,67.8,71.5,81.3,82.6,89.9,92.3,97.6,102,110,125,137,145,170,173,199,203,234,263,305,345,355,342,335,373,333,379,425,428,451,443,459,520,565,510,468,499,459,183,156,143,155,189,208,248,245,355,441,490,528,718,862,971,1090,1310,1490,1700,1740,1840,1860,2230,1960,1350,1720,1610,1710,1920,2310,2460,2800,3120,3380,3620,3830,4180,4740,5200,5690,6070,6380,6650,6850,7190,7710,8200,8700,9190,9610,9880,10300,10800,11500,12100,12600,13100,13800,14300,14800,15300,15400,16000,15700,16000,16200,16400,17700,17700,18500,19000,18600,17400,16800,15300,9950,6080,2300,4070,4440,4960,4350,4540,3770,3390,3770,4320,5070,6150,6420,5170,6240,6310,7970,8440,7860,8990
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,480,444,447,535,550,576,627,796,535,554,535,1010,1040,939,2690,898,931,979,928,913,891,884,1030,2390,3380,3530,3280,3380,3530,3630,4040,3230,4340,4190,4540,4540,3630,4800,4590,3450,4380,4420,4940,5200,5960,6640,7030,9180,9560,10900,10300,10900,12600,13200,13900,12800,13600,15200,16900,19200,20800,24400,28600,30900,33000,35600,33800,36400,41400,45600,49400,56700,63500,63000,69200,74400,77700,76700,85400,92200,98400,71700,102000,104000,101000,105000,111000,125000,134000,144000,153000,158000,161000,163000,171000,186000,199000,208000,221000,215000,221000,230000,238000,256000,274000,286000,304000,327000,326000,319000,344000,356000,383000,362000,443000,447000,446000,446000,459000,500000,536000,498000,463000,501000,525000,504000,388000,430000,474000,456000,332000,452000,458000,414000,481000,505000,539000,462000,386000,348000,365000,409000,453000,500000,564000,602000,649000,655000,661000,668000,680000,601000,1800,1290,318000,378000,433000,511000,577000,612000,624000,660000,724000,767000,779000,757000,757000,815000,836000,884000,946000,970000,961000,952000,937000,986000,1050000,1030000,1040000,1040000,1090000,1060000,1000000,1090000,1060000,1080000,1120000,1100000,1050000,1020000,1020000,1040000,1050000,1050000,1040000,1030000,1020000,1010000,930000,892000,878000,866000,864000,890000,862000,855000,822000,830000,854000,830000,823000,817000,797000,816000,781000,781000,722000,759000,732000,740000,757000,720000
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,876,869,1020,1000,1190,1080,1290,1360,1320,1460,1350,1430,1720,1650,1710,1440,1500,1760,1690,2630,2300,2420,2480,2940,2750,2430,3000,2970,2660,2560,3050,3040,3660,2580,3330,3050,3290,3450,3340,3820,3930,3980,4550,4950,5280,5610,6370,6400,6550,6290,6920,7420,7630,7350,6990,9360,9830,9140,7710,9960,9830,11900,14600,14500
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,84.3,194,202,297,176,194,150,165,,,,3.67,,,,3.67,,,,,3.67,,,,370,326,334,312,374,363,462,242,418,418,334,400,356,279,260,429,730,561,719,906,,1340,11,22,66,91.7,125,106,678,744,678,920,1300,1980,1820,2320,2380,2710,2860,2730,2680,2300,2830,2920,3370,3590,2850,253,238,136,227,213,110,66,125,169,1350,1640,4130,4580,4800,4890,5090,5960,6300,6820,7460,8130,9410,9820,10200,12300,13200,17000,18700,19500,22300,25500,24200,27800,31600,37300,36200,38900,42900,47000,48100,51300,51400,50700,52100,55500,57100,60600,59100,63500,68000,74200,74300,74100,75500,75700,77900,78800,80200,83700,87800,86600,91600,93800,93700,95700,97100,98700,97300,98200,96000,91900,83900,79800,80000,69500,67300
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,11,11,11,11,11,11,14.7,14.7,22,18.3,25.7,14.7,22,22,29.3,36.7,40.3,47.7,44,47.7,47.7,55,36.7,47.7,47.7,47.7,51.3,47.7,47.7,58.7,62.3,62.3,62.3,62.3,66,73.3,95.3,103,106,110,117,121,143,150,154,169,176,194,191,194,205,216,205,216,231,238,253,253,260,253,271,304,242
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,14.7,14.7,14.7,14.7,18.3,620,638,645,682,744,917,979,986,1130,1240,1350,1410,1380,1520,1770,1980,1740,1980,2140,2280,2300,2440,2710,2940,3070,3520,3310,3810,4130,4690,4510,3970,3630,3180,3420,3520,3700,3990,4130,4250,5090,5050,6020,5660,6840,7170,6650,7600,8750,8930,9920,10600,11100,10800,11600,12600,12600,12600,11400,11900,11700,11800,12000,13600,18300
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,158,411,616,660,697,700,697,719,726,748,748,792,814,832,803,840,843,887,902,902,946,964,990,983,953,979,994,997,994,1030,1050,1000,1030,1060,1090,1250,1290,1360,1420,1500,1580,1640,1720,1800,1880,1940,1830,1890,1970,2190,2260,2600,2780,2580,2300,2450
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.67,11,7.33,7.33,11,11,11,11,14.7,18.3,29.3,40.3,47.7,58.7,66,66,47.7,62.3,58.7,69.7,73.3,66,110,103,114,95.3,103,103,110,147,143,143,143,161,172,183,194,216,231,172,176,180,183,183,183,183,202,172,194,147,150,154,194,202,213,216,231,227,235,238,246,253,257,271
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,286,337,451,473,517,550,535,458,554,660,737,678,616,649,1080,1180,1320,1330,1370,1580,1500,1560,1800,1550,1830,1750,1900,2060,1520,1790,1800,1400,1250,1400,1420,1050,1310,1400,1180,1130,1110,1050,1050,1390,1460,1520,1590,1660,1680,1610,1600,1580,1570,1630,1440,1290,1560,1560,1570,1720,1780,1990,1940,2010
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,132,147,158,216,268,264,253,275,253,286,297,304,249,301,304,304,260,264,315,385,403,392,422,473,484,675,708,755,755,752,766,825,895,913,942,843,913,1020,1040,994,997,909,664,301,902,1030,1370,1230,1330,1370,1570,1830,1730,1990,2080,2110,2390,2400,2270,2130,2220,2310,2410,2860
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,348,359,334,378,436,455,576,587,587,616,737,700,711,722,752,807,876,1220,1180,1390,1330,1540,1510,1560,1670,1780,2000,2050,1930,2060,1820,1760,2000,1990,1910,1850,2170,2500,2730,2590,2700,3080,2850,3340,3880,3960,4160,4650,4740,5030,5710,6090,6770,7370,7550,7010,8780,8670,7870,7980,8950,8980,9060,9470
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,69.7,88,66,69.7,51.3,84.3,69.7,62.3,139,136,143,84.3,88,187,88,62.3,165,,,,275,345,345,436,455,477,546,381,770,906,961,1160,1210,1210,1260,1430,1690,1810,1970,2120,2630,2800,2920,2560,2640,2760,2890,2880,2870,3310,3550,3590,4080,4330,4380,4100,4090,4430,4760,5260,5530,5760,6000,6440,6870,7380,7470,8540,8280,9590,9630,8860,9180,9280,9440,10200,10200,10800,11900,11700,12000,12300,13000,11600,11800,11800,11700,10700,4760,5590,9240,11000,11900,11300,10100,11800,13100,13800,15100,12500,11200,10200,10000,10600,11100,11900,13600,14800,14500,15800,17900,18900,19200,15900,8210,10800,13900,16400,20400,18400,22200,27200,31800,34000,35700,33200,38500,39300,41900,45400,49000,50600,56300,62400,61300,61700,58800,61200,62400,70000,69300,69400,73100,74100,75400,80000,83200,88200,86200,86900,86600,86900,89100,90900,86100,83500,84400,78300,76100,69600,66600,60400,61900,58900,60400,62100,60900,59200,58800,55800,57000,56100,59100,57500,58000,57400,56000,54800,48500,50200,47800,44600,42100,42100
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18.3,,,33,25.7,,18.3,18.3,14.7,11,3.67,3.67,3.67,741,645,777,917,781,913,950,964,1090,1240,1210,1090,1200,1310,1310,1400,1500,1440,1600,1270,1390,1470,1490,1750,1740,1620,1710,1910,1930,1990,1870,1750,1600,1550,1820,1630,1790,1850,1850,1900,2000,1770,1820,1980,2010,1950,2210,2100,2100,2070,2160,2100,2170,2170,2240,2230,2300,2310,2120,2050,1960,1880,1800,1900,1980
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,704,711,550,609,675,638,627,708,,,,,,,,,,,,1950,1860,2080,2020,2410,2680,2990,2700,3030,3360,3730,4380,4830,5200,5720,6020,6140,7690,8320,9010,9980,11000,13100,14400,15900,16200,18100,18500,21400,23800,27300,26300,25700,27100,31200,34500,34700,36300,36700,38400,43200,47200,38200,41100,40400,41600,44500,44000,43800,46000,44200,46000,46800,42900,39800,39100,43700,45600,44900,49700,55600,54400,57700,59000,58900,51300,52500,58200,57500,58600,58700,61900,66700,69800,73600,74900,78800,85500,88500,99300,104000,110000,121000,130000,143000,154000,151000,166000,172000,172000,187000,191000,195000,206000,218000,224000,232000,252000,264000,279000,283000,297000,314000,339000,350000,379000,388000,427000,458000,488000,528000,579000,619000,658000,699000,724000,765000,812000,882000,918000,936000,996000,1030000,1040000,1050000,1100000,1150000,1220000,1300000,1410000,1570000,1740000,1720000,1840000,2020000,2030000,2240000
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,14.7,22,180,403,480,770,862,1110,1290,1130,1210,2240,1540,3000,3370,4140,4460,5300,5500,5990,6120,6730,5850,5900,6020,6040,6770,7140,7140,7640,8270,8760,8310,9600,10600,11100,11100,12900,14800,18600,18100,16900,16600,17900,19300,20000,21800,25400,26800,29200,28800,26500,9460,19000,8780,3810,1350,4060,15500,21900,9840,9400,12700,13100,14800,20900,21800,22400,22200,23900,21400,26000,23000,22800,22400,24700,23400,24600,27600,33400,35800,39000,43300,49100,51300,54000,61800,82400,93900,95100,94800,100000,105000,105000,112000,121000,122000,123000,132000,131000,150000,180000,203000,219000,221000,225000,253000,279000,214000,242000,263000,295000,307000,317000,338000,342000,345000,376000,417000,446000,429000,604000,637000,490000,464000
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,,,,136,253,854,1170,1400,2010,2800,3450,4320,5440,7260,9230,11600,13500,14200,15100,16700,17700,17000,18500,17900,20100,22100,23500,23400,25600,31700,31800,30100,27200,20800,29600,30500,41700,52900,60300,63500,78000,84100,,6920,4100,3830,1050,15800,22800,21800,25300,25600,37400,36500,37500,41300,47600,53800,64200,67900,82400,83100,91900,102000,106000,130000,144000,139000,157000,164000,162000,164000,121000,113000,138000,150000,151000,161000,148000,160000,176000,191000,210000,227000,228000,237000,265000,273000,276000,269000,309000,382000,372000,398000,402000,418000,447000,469000,509000,519000,542000,554000,573000,589000,612000,620000,649000
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,290,370,370,367,374,352,2870,5730,5800,6250,5920,12200,7700,4810,7970,11000,12800,14100,14400,14400,,1130,1650,2430,1960,2530,3050,4100,6400,5980,6670,7320,8270,8720,9030,9390,9080,19300,27700,18400,19700,22600,23900,28900,29600,30600,30900,33200,48800,43700,42300,53000,45600,32100,30600,38700,40200,44700,47800,52900,67900,73300,47700,45600,59100,63400,71300,74300,69500,68300,72400,72300,72400,85300,87300,91100,114000,114000,98800,62200,93100,105000,112000,134000,153000,166000,168000
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,224,249,227,242,257,246,249,293,238,,,6690,6040,8100,6740,6490,10000,9560,9850,6430,9270,9490,9540,10200,10400,9970,11500,11500,8460,7020,7120,6360,6840,8200,8820,8450,8350,9740,10500,9630,9550,9100,11700,10900,9730,8970,12300,11200,12400,13100,13500,14200,13700,15100,16400,17800,18500,19400,22500,22100,22900,23300,22100,22300,23600,23600,27400,26300,26000,25500,25700,25500,26700,28500,30200,29800,30000,31200,31400,31000,31300,32700,33000,34900,36400,38600,40200,41200,44000,43400,42700,43800,43500,43200,44600,43000,40300,40100,35600,35600,34900,34100
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,40.3,51.3,66,69.7,91.7,77,80.7,47.7,55,73.3,58.7,110,84.3,88,73.3,132,165,80.7,121,1670,2920,3660,4040,4330,4820,4800,5180,5540,5610,6470,7070,7940,8210,9150,12900,13600,13500,13800,14800,16600,16200,16900,19300,19400,19600,19600,19900,21200,21000,21100,21200,24100,23900,23700,24900,26600,27400,30100,31800,36300,36800,42800,45100,48400,51100,53100,55900,57100,55700,60300,63600,59800,62900,59000,57000,62500,63100,68300,64500,68900,69100,75500,67100,64600
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,671,1230,1070,1610,1270,1480,1470,1700,1870,2680,2310,2980,2770,3000,3070,4110,3810,3790,4360,5070,5960,6280,6650,7370,8380,8340,10200,10900,11300,12200,11000,10900,10500,13100,12000,11400,11900,12400,13600,13900,13500,15000,15300,16200,17900,21100,22800,23300,25700,25800,26600,27900,30000,27300,23800,23500,16100,19000,18600,17900,21900,25700,26800,32200,31000,35900,40400,38200,44100,39600,34200,28100,30500,39700,45400,32000,45200,45000,46200,49100,42900,41900,7120,3590,4360,22200,36800,35600,39800,41500,48900,50700,56100,65000,73400,83600,87200,87700,94200,109000,125000,146000,165000,176000,190000,214000,234000,249000,270000,297000,312000,329000,354000,359000,342000,367000,356000,373000,387000,389000,378000,370000,361000,368000,372000,366000,384000,390000,409000,418000,424000,421000,412000,407000,430000,426000,430000,440000,442000,451000,450000,453000,468000,474000,473000,469000,463000,447000,402000,405000,398000,369000,345000,320000
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,521,565,616,792,986,1260,1610,1360,1840,1470,2130,2120,2400,4070,2990,3520,3870,3880,4270,4990,5750,6290,8300,7600,8190,7280,7450,9120,8540,8450,7410,6220,6450,5140,5050,4550,5380,4530,6730,7530,7760,7720,8010,8200,9180,9700,10100,9720,9980,10300,10600,10200,10700,10700,10500,11500,9650,10200,7740,7300,7860,7460,8090,7420
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,18.3,25.7,33,40.3,587,1440,1400,1290,1860,2320,2350,2420,2520,2710,2960,3350,3610,4480,5170,6260,6760,8130,8080,8580,11000,12200,12900,13600,17300,17300,19400,23300,25000,25800,29100,30000,32900,35100,37700,38300,39400,44200,49300,54400,58100,52900,58600,67500,71600,79300,74300,66900,71500,76000,79400,82100,82700,89600,92500,95000,86300,78000,78100,91400,101000,106000,117000,126000,132000,128000,153000,155000,148000,151000,139000,76700,52800,70100,88200,98500,103000,124000,131000,146000,143000,142000,161000,188000,181000,193000,233000,283000,293000,325000,359000,387000,420000,490000,563000,654000,769000,798000,853000,916000,916000,870000,909000,935000,904000,956000,948000,930000,900000,884000,940000,915000,915000,906000,989000,1030000,1100000,1100000,1120000,1110000,1170000,1180000,1200000,1200000,1160000,1200000,1220000,1200000,1220000,1240000,1270000,1240000,1230000,1250000,1210000,1100000,1170000,1190000,1230000,1250000,1210000
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,161,194,213,253,381,451,495,524,656,744,979,1050,1220,1240,1420,1580,1420,1510,1760,1560,1660,1920,2200,2230,2490,2950,3160,3640,3800,4730,5860,6290,7360,8350,8540,9280,9660,9310,9230,10400,9800,12300,12100,13600,13600,14200,14400,14500,14600,15500,16000,16900,17500,19200,21100,21100,22000,21300,21900,21200,21700,24400,24400,26500
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.72,1.15,1.44,,,,,,,,,,,,,,,,,8.91,,,,,27,,,37.9,40.2,53.2,67.5,60.9,63.8,71.6,68.4,216,248,206,280,304,410,421,395,480,552,686,700,914,938,1100,1160,1220,1390,1410,1540,1580,1670,1740,1880,2130,2340,2480,2910,2960,3400,3460,4000,4490,5210,5900,6060,5850,5720,6370,5680,6480,7260,7310,7710,7560,7840,8880,9650,8710,8000,8520,7840,3130,2670,2440,2640,3220,3560,4240,4190,6060,7540,8380,9020,12300,14700,16600,18500,22400,25400,29100,29800,31400,31800,38100,33500,23100,29400,27600,29200,32800,39500,42000,47800,53300,57700,61800,65400,71400,81000,88800,97200,104000,109000,114000,117000,123000,132000,140000,149000,157000,164000,169000,176000,185000,196000,207000,215000,224000,235000,244000,252000,261000,263000,274000,268000,274000,277000,280000,302000,303000,316000,324000,317000,298000,287000,262000,218000,200000,169000,142000,129000,127000,116000,118000,132000,134000,142000,173000,177000,193000,222000,233000,213000,249000,259000,243000,263000,248000
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,1390,1590,1510,1700,1990,2220,2280,2090,2210,2430,2400,2630,2860,2830,2470,2680,2700,2820,3130,3080,3690,3870,3920,4950,4980,4610,5060,5320,5040,6200,6530,4690,4660,4320,3770,4160,5170,4790,5190,5820,4840,5540,6350,6560,7550,9330,8270,10000,10200,10400,9370,7970,6750,7620,8560,9570,9830,10200,12400,12200,13500,12500,13300,14300
